2018-08-19 15:26:46.568 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 24
2018-08-19 15:26:46.569 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 26
2018-08-19 15:26:46.569 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.569 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 23
2018-08-19 15:26:46.569 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 25
2018-08-19 15:26:46.569 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.570 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 22
2018-08-19 15:26:46.571 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 24
2018-08-19 15:26:46.572 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.579 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 21
2018-08-19 15:26:46.579 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 23
2018-08-19 15:26:46.580 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.580 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 20
2018-08-19 15:26:46.580 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 22
2018-08-19 15:26:46.580 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.580 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 19
2018-08-19 15:26:46.580 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 21
2018-08-19 15:26:46.580 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.580 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 18
2018-08-19 15:26:46.580 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 20
2018-08-19 15:26:46.581 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.581 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 17
2018-08-19 15:26:46.581 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 19
2018-08-19 15:26:46.581 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.581 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 16
2018-08-19 15:26:46.584 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 18
2018-08-19 15:26:46.585 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.585 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 15
2018-08-19 15:26:46.587 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 17
2018-08-19 15:26:46.589 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.589 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 14
2018-08-19 15:26:46.589 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 16
2018-08-19 15:26:46.590 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.590 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 13
2018-08-19 15:26:46.591 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 15
2018-08-19 15:26:46.591 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.591 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 12
2018-08-19 15:26:46.591 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 14
2018-08-19 15:26:46.593 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.593 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 11
2018-08-19 15:26:46.593 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 13
2018-08-19 15:26:46.593 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.593 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 10
2018-08-19 15:26:46.594 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 12
2018-08-19 15:26:46.594 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.596 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 9
2018-08-19 15:26:46.597 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 11
2018-08-19 15:26:46.597 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.597 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 8
2018-08-19 15:26:46.598 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 10
2018-08-19 15:26:46.598 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.598 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 7
2018-08-19 15:26:46.598 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 9
2018-08-19 15:26:46.598 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 2
2018-08-19 15:26:46.598 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 6
2018-08-19 15:26:46.598 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 8
2018-08-19 15:26:46.600 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 3
2018-08-19 15:26:46.600 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 5
2018-08-19 15:26:46.600 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 8
2018-08-19 15:26:46.600 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 4
2018-08-19 15:26:46.600 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 4
2018-08-19 15:26:46.600 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 8
2018-08-19 15:26:46.600 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 5
2018-08-19 15:26:46.600 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 3
2018-08-19 15:26:46.601 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 8
2018-08-19 15:26:46.601 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 6
2018-08-19 15:26:46.601 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 2
2018-08-19 15:26:46.601 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 8
2018-08-19 15:26:46.601 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 7
2018-08-19 15:26:46.601 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 1
2018-08-19 15:26:46.601 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 8
2018-08-19 15:26:46.601 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_FreeConnections: 8
2018-08-19 15:26:46.604 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_BoundConnections: 0
2018-08-19 15:26:46.610 [main] INFO  com.dk.gym.pool.ConnectionPool - Release_PoolSize: 8
